iter	Passed	Remaining
1093	15493	1501
1094	15507	1487
1095	15522	1472
1096	15536	1458
1097	15555	1445
1098	15571	1431
1099	15586	1416
1100	15601	1402
1101	15617	1388
1102	15633	1374
1103	15646	1360
1104	15661	1346
1105	15674	1332
1106	15688	1318
1107	15701	1303
1108	15715	1289
1109	15729	1275
1110	15743	1261
1111	15762	1247
1112	15777	1233
1113	15793	1219
1114	15810	1205
1115	15827	1191
1116	15841	1177
1117	15856	1163
1118	15872	1148
1119	15888	1134
1120	15903	1120
1121	15928	1107
1122	15942	1093
1123	15958	1079
1124	15973	1064
1125	15988	1050
1126	16004	1036
1127	16018	1022
1128	16034	1008
1129	16049	994
1130	16064	980
1131	16078	965
1132	16092	951
1133	16105	937
1134	16119	923
1135	16132	908
1136	16146	894
1137	16160	880
1138	16174	866
1139	16188	852
1140	16201	837
1141	16215	823
1142	16228	809
1143	16241	795
1144	16255	780
1145	16269	766
1146	16283	752
1147	16297	738
1148	16311	724
1149	16326	709
1150	16346	695
1151	16359	681
1152	16372	667
1153	16386	653
1154	16400	638
1155	16414	624
1156	16428	610
1157	16443	596
1158	16458	582
1159	16472	568
1160	16486	553
1161	16500	539
1162	16514	525
1163	16528	511
1164	16543	497
1165	16558	482
1166	16573	468
1167	16587	454
1168	16604	440
1169	16623	426
1170	16636	412
1171	16651	397
1172	16665	383
1173	16679	369
1174	16693	355
1175	16708	340
1176	16722	326
1177	16735	312
1178	16750	298
1179	16763	284
1180	16778	269
1181	16793	255
1182	16808	241
1183	16823	227
1184	16839	213
1185	16855	198
1186	16869	184
1187	16884	170
1188	16901	156
1189	16917	142
1190	16933	127
1191	16951	113
1192	16967	99
1193	16983	85
1194	16998	71
1195	17014	56
1196	17035	42
1197	17049	28
1198	17064	14
1199	17078	0
